endpoint,codigo_padre,descripcion_padre,cantidad_codigos_eliminados,ejemplo_codigos_eliminados
tipologias-detalle_Colombia,22000104993,"ISLA DE 6 PUESTOS TEK 150 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000116411,"ISLA DE 6 PUESTOS TEK 120 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000116865,"ISLA DE 6 PUESTOS TEK 120 X 75 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000116877,"ISLA DE 6 PUESTOS TEK 150 X 75 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118634,"ISLA DE 6 PUESTOS TEK 135 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118635,"ISLA DE 6 PUESTOS TEK 165 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118636,"ISLA DE 6 PUESTOS TEK 135 X 75 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118637,"ISLA DE 6 PUESTOS TEK 165 X 75 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118638,"ISLA DE 6 PUESTOS TEK 120 X 60 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118639,"ISLA DE 6 PUESTOS TEK 135 X 60 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118640,"ISLA DE 6 PUESTOS TEK 150 X 60 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118641,"ISLA DE 6 PUESTOS TEK 165 X 60 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118642,"ISLA DE 6 PUESTOS TEK 120 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118643,"ISLA DE 6 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118644,"ISLA DE 6 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118645,"ISLA DE 6 PUESTOS TEK 165 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118646,"ISLA DE 6 PUESTOS TEK 120 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118647,"ISLA DE 6 PUESTOS TEK 135 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118648,"ISLA DE 6 PUESTOS TEK 150 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118649,"ISLA DE 6 PUESTOS TEK 165 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118650,"ISLA DE 6 PUESTOS TEK 120 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118651,"ISLA DE 6 PUESTOS TEK 135 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118652,"ISLA DE 6 PUESTOS TEK 150 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000118653,"ISLA DE 6 PUESTOS TEK 165 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",3,"22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000118654,"JEFATURA TEK 165 X 60 CREDENZA 120 X 3,0CM FORMICA GROMMET",5,"22000105114, 22000105122, 22000107323, 22000107325, 22000127237"
tipologias-detalle_Colombia,22000118655,"JEFATURA TEK 180 X 60 CREDENZA 150 X 3,0CM FORMICA GROMMET",5,"22000105116, 22000105123, 22000107324, 22000107325, 22000127237"
tipologias-detalle_Colombia,22000125993,"PERIMETRAL DE 1 PUESTO TEK 120 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127891"
tipologias-detalle_Colombia,22000125994,"PERIMETRAL DE 1 PUESTO TEK 135 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127892"
tipologias-detalle_Colombia,22000125995,"PERIMETRAL DE 1 PUESTO TEK 150 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127893"
tipologias-detalle_Colombia,22000125996,"PERIMETRAL DE 1 PUESTO TEK 165 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127237, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000125997,"PERIMETRAL DE 1 PUESTO TEK 120 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127891"
tipologias-detalle_Colombia,22000125998,"PERIMETRAL DE 1 PUESTO TEK 135 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127892"
tipologias-detalle_Colombia,22000125999,"PERIMETRAL DE 1 PUESTO TEK 150 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127893"
tipologias-detalle_Colombia,22000126000,"PERIMETRAL DE 1 PUESTO TEK 165 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000126001,"PERIMETRAL DE 1 PUESTO TEK 120 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127891"
tipologias-detalle_Colombia,22000126002,"PERIMETRAL DE 1 PUESTO TEK 135 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127892"
tipologias-detalle_Colombia,22000126003,"PERIMETRAL DE 1 PUESTO TEK 150 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127893"
tipologias-detalle_Colombia,22000126004,"PERIMETRAL DE 1 PUESTO TEK 165 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127237, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000126005,"PERIMETRAL DE 1 PUESTO TEK 120 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127891"
tipologias-detalle_Colombia,22000126006,"PERIMETRAL DE 1 PUESTO TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127892"
tipologias-detalle_Colombia,22000126007,"PERIMETRAL DE 1 PUESTO TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127893"
tipologias-detalle_Colombia,22000126008,"PERIMETRAL DE 1 PUESTO TEK 165 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000126028,"ISLA DE 4 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126029,"ISLA DE 4 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126031,"ISLA DE 6 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO CON CAJONERA",2,"22000020538, 22000117196"
tipologias-detalle_Colombia,22000126032,"ISLA DE 8 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126033,"ISLA DE 8 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126034,"ISLA DE 10 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126043,"ISLA DE 8 PUESTOS TEK 120 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",0,
tipologias-detalle_Colombia,22000126044,"ISLA DE 4 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO CON CAJONERA MOVIL",1,22000020538
tipologias-detalle_Colombia,22000126045,"ISLA DE 6 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO CON CAJONERA MOVIL",1,22000020538
