endpoint,codigo_padre,descripcion_padre,motivo,codigos_hijos_encontrados,cantidad_hijos_originales
tipologias-detalle_Colombia,22000118635,"ISLA DE 6 PUESTOS TEK 165 X 60 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118637,"ISLA DE 6 PUESTOS TEK 165 X 75 X 3,0CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118641,"ISLA DE 6 PUESTOS TEK 165 X 60 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118645,"ISLA DE 6 PUESTOS TEK 165 X 75 X 2,5CM FORMICA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118649,"ISLA DE 6 PUESTOS TEK 165 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118653,"ISLA DE 6 PUESTOS TEK 165 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO PANTALLA FRONTAL VIDRIO LAMINADO SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000127874, 22000127878, 22000127886",3
tipologias-detalle_Colombia,22000118654,"JEFATURA TEK 165 X 60 CREDENZA 120 X 3,0CM FORMICA GROMMET",Contiene hijo eliminado,"22000105114, 22000105122, 22000107323, 22000107325, 22000127237",5
tipologias-detalle_Colombia,22000118655,"JEFATURA TEK 180 X 60 CREDENZA 150 X 3,0CM FORMICA GROMMET",Contiene hijo eliminado,"22000105116, 22000105123, 22000107324, 22000107325, 22000127237",5
tipologias-detalle_Colombia,22000118656,"JEFATURA TEK 180 X 75 CREDENZA 150 X 3,0CM FORMICA GROMMET",Contiene hijo eliminado,"22000105116, 22000105123, 22000107325, 22000127238",6
tipologias-detalle_Colombia,22000125993,"PERIMETRAL DE 1 PUESTO TEK 120 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127891",3
tipologias-detalle_Colombia,22000125994,"PERIMETRAL DE 1 PUESTO TEK 135 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127892",3
tipologias-detalle_Colombia,22000125995,"PERIMETRAL DE 1 PUESTO TEK 150 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127893",3
tipologias-detalle_Colombia,22000125996,"PERIMETRAL DE 1 PUESTO TEK 165 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127874, 22000127894",4
tipologias-detalle_Colombia,22000125997,"PERIMETRAL DE 1 PUESTO TEK 120 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127238, 22000127891",3
tipologias-detalle_Colombia,22000125998,"PERIMETRAL DE 1 PUESTO TEK 135 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127238, 22000127892",3
tipologias-detalle_Colombia,22000125999,"PERIMETRAL DE 1 PUESTO TEK 150 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127238, 22000127893",3
tipologias-detalle_Colombia,22000126000,"PERIMETRAL DE 1 PUESTO TEK 165 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127238, 22000127874, 22000127894",4
tipologias-detalle_Colombia,22000126001,"PERIMETRAL DE 1 PUESTO TEK 120 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127891",3
tipologias-detalle_Colombia,22000126002,"PERIMETRAL DE 1 PUESTO TEK 135 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127892",3
tipologias-detalle_Colombia,22000126003,"PERIMETRAL DE 1 PUESTO TEK 150 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127893",3
tipologias-detalle_Colombia,22000126004,"PERIMETRAL DE 1 PUESTO TEK 165 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",Contiene hijo eliminado,"22000104949, 22000127237, 22000127874, 22000127894",4
